name            ;hex      ;purpose
turkey red      ;b00b00   ;error
Chill red       ;de1000   ;delete/remove
pacific cyan    ;00a7c9   ;modified
sgbus green     ;00d900   ;insert/add

rose            ;f92672   ;light main
amaranth purple ;b7134f   ;main
tropical indigo ;ae81ff   ;
brandels blue   ;176fff   ;
robin egg blue  ;1ccad8   ;
yellow green    ;a6e22e   ;secondary
sunglow         ;ffd035   ;secondary
orange          ;ffa500   ;

night           ;101010   ;background
night 2         ;151515   ;background above background
eerie black     ;202020   ;menus
jet             ;303030   ;accents for backgrounds
onyx            ;404040   ;selection
davy's gray     ;505050   ;light
gray            ;757571   ;text deemphasized/ onyx accent
silver          ;bbbbb2   ;text inactive
baby powder     ;f8f8f0   ;text active

transparent     ;0000     ;invisible
transparency    ;000000xx ;transparency
black           ;000      ;shadows
